,Title,Describe,Price,Year,Distance
0,Mercedes-Benz C-Class Sedan C300 2019款 2.0L,【滿吉國際】C300 & 低里程 & 免鑰匙 & 盲點偵測 & 電熱椅,179.8,2019,5421km
1,Peugeot 207 5D 2007款 1.6L,Peugeot 207 女用自用車,10.8,2007,26.0萬km
2,Toyota Sienna 2021款 2.5L,【滿吉國際】LE 菁英版 八人座 & 全新車 & 自動跟車系統 & 盲點偵測,195.8,2021,174km
3,Porsche Macan 2017款 2.0L,正2017年 Porsche Macan 2.0 里程3.8萬公里,電洽,2017,3.8萬km
4,BMW i8 Roadster 2019款 1.5L,BMW i8敞篷 市場唯一 路上焦點 19年 弘達國際 #94545,618,2019,3000km
5,Suzuki Swift 2009款 1.5L,FB搜尋:【金美麗汽車廣場】『免頭款、全額貸』 我的用心 讓你放心,10,2009,6.0萬km
6,Mercedes-Benz GLC GLC300 2019款 2.0L,Benz GLC300 4 MATIC AMG 低里程 柏林音響 桃園弘達,199,2019,5000km
7,BMW 3-Series Sedan 330i 2019款 2.0L,G20 330i 超低里程 5AS 天窗 三區恆溫 弘達桃園#26009,165,2019,3.1萬km
8,Toyota Innova 2016款 2.0L,~實車實價【泰洋】聯盟五大保固 一手車 里程保證 安卓機 認證車 零頭款 可全貸,37.8,2015,6.4萬km
9,Mercedes-Benz SLK SLK350 2012款 3.5L,SLK350總代理.Sky天窗.電視.導航.倒車顥影.電熱椅.頸部暖氣.台中上豪,電洽,2012,4.5萬km
10,Lexus LS 2011款 5.0L,2011年式 LS600HL 總代理.冷熱通風椅.吸頂大螢幕.DVD.台中上豪,電洽,2010,19.4萬km
11,Porsche Cayenne S 2013款 4.8L,2013年 CAYENNE S 總代理.大馬力.天窗.換檔撥片.台中上豪,電洽,2013,5.8萬km
12,Lexus LS 2013款 4.6L,2013款 LS460L 天窗.舒適抬腿座椅.冷熱通風椅.導航.台中上豪,電洽,2012,7.4萬km
13,Volkswagen Phaeton 2007款 3.0L,2007年 PHAETON 僅3萬餘里程.省稅金.賓利的孿生兄弟.台中上豪,電洽,2007,3.3萬km
14,BMW 7-Series 740Li 2017款 3.0L,740LI 17年式總代理認證.腳踢尾門.HUD.數位KEY.手勢控制.台中上豪,電洽,2016,9.3萬km
15,Mercedes-Benz S-Class Sedan S500 2014款 4.7L,S500L 總代理.抬腿舒適椅.後座雙螢幕.全景.腳踢尾門.香芬套件.台中上豪,電洽,2013,3.5萬km
16,Mercedes-Benz S-Class Sedan S400 Hybrid 2011款 3.5L,2011年式 S400H 總代理.天窗.冷熱通風椅.倒車影像.台中上豪,電洽,2011,8.4萬km
17,BMW 6-Series Coupe 650i 2012款 4.4L,2012年式 650CI 總代理.抬頭顯示.倒車影像.快撥鍵.台中上豪,電洽,2011,3.9萬km
18,Mercedes-Benz S-Class Sedan S400 Hybrid 2011款 3.5L,2011年式 S400H 總裁級雙螢幕影音.冷熱通風椅.HK音響.台中上豪,電洽,2010,7.1萬km
19,Lexus LS 2018款 3.5L,18式 LS500h 新車保固中. 頂級版.腳踢尾門.HUD.車偏.台中上豪,電洽,2017,5.5萬km
20,Maserati GranTurismo Sport 2012款 4.7L,瑪莎拉蒂 GranTurismo S 米內裝. 台中上豪,電洽,2012,6.1萬km
21,Mercedes-Benz CL-Class CL500 2007款 5.5L,2007年 CL500 一手車.夜視系統.冷熱通風椅.倒車影像.台中上豪,電洽,2007,10.1萬km
22,Maserati Quattroporte 2014款 3.0L,2014年式 蒙地拿 QUATTROPORTE S Q4 總代理.電視.台中上豪,電洽,2013,11.4萬km
23,Mini Countryman 2014款 1.6L,2014年式 MINI ONE COUNTRYMAN 總代理.低里程.台中上豪,電洽,2013,3.3萬km
24,Mercedes-Benz GL-Class GL450 2014款 4.7L,GL450 AMG 車偏7座4WD 車距警示 盲點偵測.台中上豪,電洽,2013,10.9萬km
25,Jaguar XJ 2004款 4.2L,XJ8 04款 低里程.一手車.冷熱通風椅.天窗.遮陽簾.台中上豪,電洽,2003,18.0萬km
26,Lexus LS 2010款 5.0L,2010年式LS600HL總代理認證企業老闆節稅車4WD冷熱通風椅.台中上豪,電洽,2009,11.0萬km
27,Audi Q7 2016款 3.0L,16年式 Q7 45TDI 大型SUV休旅車 台中上豪,電洽,2015,12.2萬km
28,Toyota Sienna 2021款 2.5L,"【滿吉國際】LTD 7/10 到店,車測中,限量版七人座",258.8,2021,154km
