,adsid,campaignid,distance,match_type,ads_keyword,deduction_info,collection_id,display_name,campaign_stock,json_data,tracking_info,itemid,shopid,algo_image,fe_flags,item_basic.itemid,item_basic.shopid,item_basic.name,item_basic.label_ids,item_basic.image,item_basic.images,item_basic.currency,item_basic.stock,item_basic.status,item_basic.ctime,item_basic.sold,item_basic.historical_sold,item_basic.liked,item_basic.liked_count,item_basic.view_count,item_basic.catid,item_basic.brand,item_basic.cmt_count,item_basic.flag,item_basic.cb_option,item_basic.item_status,item_basic.price,item_basic.price_min,item_basic.price_max,item_basic.price_min_before_discount,item_basic.price_max_before_discount,item_basic.hidden_price_display,item_basic.price_before_discount,item_basic.has_lowest_price_guarantee,item_basic.show_discount,item_basic.raw_discount,item_basic.discount,item_basic.is_category_failed,item_basic.size_chart,item_basic.video_info_list,item_basic.tier_variations,item_basic.item_rating.rating_star,item_basic.item_rating.rating_count,item_basic.item_rating.rcount_with_context,item_basic.item_rating.rcount_with_image,item_basic.item_type,item_basic.reference_item_id,item_basic.transparent_background_image,item_basic.is_adult,item_basic.badge_icon_type,item_basic.shopee_verified,item_basic.is_official_shop,item_basic.show_official_shop_label,item_basic.show_shopee_verified_label,item_basic.show_official_shop_label_in_title,item_basic.is_cc_installment_payment_eligible,item_basic.is_non_cc_installment_payment_eligible,item_basic.coin_earn_label,item_basic.show_free_shipping,item_basic.preview_info,item_basic.coin_info,item_basic.exclusive_price_info,item_basic.bundle_deal_id,item_basic.can_use_bundle_deal,item_basic.bundle_deal_info,item_basic.is_group_buy_item,item_basic.has_group_buy_stock,item_basic.group_buy_info,item_basic.welcome_package_type,item_basic.welcome_package_info,item_basic.add_on_deal_info,item_basic.can_use_wholesale,item_basic.is_preferred_plus_seller,item_basic.shop_location,item_basic.has_model_with_available_shopee_stock,item_basic.voucher_info,item_basic.can_use_cod,item_basic.is_on_flash_sale,item_basic.spl_installment_tenure,item_basic.is_live_streaming_price,item_basic.is_mart,item_basic.pack_size,item_basic.bundle_deal_info.bundle_deal_id,item_basic.bundle_deal_info.bundle_deal_label,item_basic.voucher_info.promotion_id,item_basic.voucher_info.voucher_code,item_basic.voucher_info.label,tracking_info.viral_spu_tracking,tracking_info.business_tracking,tracking_info.multi_search_tracking,tracking_info.groupid,tracking_info.ruleid,item_basic.add_on_deal_info.add_on_deal_id,item_basic.add_on_deal_info.add_on_deal_label,item_basic.add_on_deal_info.sub_type,item_basic.add_on_deal_info.status
0,16336663.0,9357684.0,,0.0,背心女,YmZmdG9jdHcxLlVZdnhaWpX0ff5kTo3xFk5PoZKWxqkQXy79WAxEpwMP/Gcc6urzyFAA3szWIIj6NQtf3lZwIsgEW7i3lc025J1N2nJoYDNdP69IV2vKJFlmvJ1tQc8F,,,,CiFjOmU9YjtwaWQ9QTsyLmEuMjc0QEJDRUhJT2NmZ21udzBxIDyWCmfjoz8=,,5383817226,338734079,,,5383817226,338734079,【熱銷】【買一送一】【三套以上更優惠】專業無痕背心 冰絲背心 大尺碼背心 薄款打底 單穿百搭  無袖背心 高彈性 小可愛,"[1000040, 1000365, 1001511, 1000553, 25, 1002853, 1001578, 1004576, 1004778, 1004779, 1004780, 1005141, 1005228, 1005132, 1000028, 1004777, 1005315, 1005522]",a18ee9a896f28ddfba4b0ed010e15df4,"['a18ee9a896f28ddfba4b0ed010e15df4', 'e7d585bf4fe62fbd16c4393066fa5211', 'b10d8c5b1512b625a1b193b2e3015cc3', 'ef6c4f903c0c3bab1cf609c97bad6fd5', '36fce17c541080c97443cfbe46cd60b8', 'd8aaa5d6b89589570705ec2294fc2783', 'cc2ccc463481cd02ffb3c32e88a982a9']",TWD,47990,1,1617025058,3,34,False,41,695,62,,16,196608,1,normal,8900000,8900000,8900000,15500000,15500000,,15500000,False,43,43,5.7,False,,"[{'video_id': 'a394b7128f71f41772b2a7d5439e68fd', 'thumb_url': '275edbd48cd33c2874e05ee0fa475ef9', 'duration': 48, 'version': 1, 'vid': None, 'formats': [], 'default_format': None}]","[{'name': '顏色', 'options': ['膚色+綠色【超薄無痕背心】', '綠色+黑色【超薄無痕背心】', '粉色+綠色【超薄無痕背心】', '膚色+粉色【超薄無痕背心】', '紫色+粉色【超薄無痕背心】', '白色+粉色【超薄無痕背心】', '白色+黑色【超薄無痕背心】', '自由組合顏色【請備註】【超薄無痕背心】'], 'images': ['5971e14c361cb6216c23231f72f78e1e', '1985e13e98b80fb8ddde5ad977ce36a4', '7ce2fe275389e0e2235b2b0de15a172b', 'b5b144facc1f158b3e8a15a71a7dea00', '8eba8ba9101612f32eada576e3944c8f', 'd185afc4d0ef3bedcdfca2be14c075eb', '4a720d8f734323b819458609d50ee44e', 'd43713abcc939838a3111f5cf99675da'], 'properties': [], 'type': 0}, {'name': '尺碼', 'options': ['M 【建議40-47.5kg】', 'L【建議47.5-55kg】', 'XL【建議55-62.5kg】', '2XL【建議62.5-70kg】', '3XL 【建議70-77.5kg】', '4XL【建議77.5-85kg】'], 'images': None, 'properties': [], 'type': 0}]",5.0,"[16, 0, 0, 0, 0, 16]",9,9,0,,,False,0,False,False,False,False,False,False,False,,False,,,,0,False,,,,,0,,,False,False,中國大陸,False,,True,False,,,False,,,,,,,,,,,,,,,
1,19998280.0,11766330.0,,0.0,wkdaelpmissisiht,YmZmdG9jdHcxLlVZdnhaWpX0ff5kTo3xFk5PoZKWxqmnPyZjJ/RPuigQK/hyLWG84uY1SffF2cFBXD8K3PtfR/3YSSZ4xvVb526l+Rt6b6Ze3uikhIk4h/CpZ+bck3ET,,,,CiFjOmU9YjtwaWQ9QTsyLmEuMjc0QEJDRUhJT2NmZ21udzBIBHEvWM9NFy6lP3mpdNjO3ZebPw==,,8057268321,409433252,,,8057268321,409433252,【限時促銷】純棉吊帶 背心女 大碼韓版外穿寬鬆 夏季新款極簡文藝百搭內搭工字吊帶 打底無袖T恤 上衣,"[1001511, 25, 1004846, 1004778, 1005141, 1005228, 1000028, 1004777, 1005315]",3fb67ae75ab849edac9934425d61055b,"['3fb67ae75ab849edac9934425d61055b', '4b3d1c4dc6d6a162587a792974e60627', 'b8577727c8808d73fc6bcf210fde4e4f', '218af790d8427e05a842b39278ea28c4', '36f0ffceeb02c756ff70179d7aa61e97', 'fa985fdc3992c4d39be69982bbd20974', 'd630ab67f1f9314ccbe9f497a7492ac7', '452e11eb61347a991119233fc9ea604b', '11257fbee4cd4677a25aeb2cea64616c']",TWD,6074,1,1621568761,0,7,False,21,876,62,,2,0,1,normal,9200000,9200000,9200000,22200000,22200000,,22200000,False,59,59,4.1,False,36f0ffceeb02c756ff70179d7aa61e97,"[{'video_id': 'b93e65c4896c426a34fe0ab41d325c42', 'thumb_url': 'd277cdc5a46c7c1aefdbd1f306a8fa4a', 'duration': 27, 'version': 2, 'vid': 'sg_c45f66c9-e7fc-43af-9288-a0ac3742a0a3_000041', 'formats': [{'format': 160011, 'defn': 'V720P', 'profile': 'MP4', 'path': '', 'url': 'http://1500000774.vod2.myqcloud.com/c830c918vodtranssgp1500000774/337bdd513701925918937930556/v.f165041.mp4', 'width': 1280, 'height': 1280}], 'default_format': {'format': 100001, 'defn': 'ORI', 'profile': 'MP4', 'path': '', 'url': 'http://1500000774.vod2.myqcloud.com/14092670vodsgp1500000774/337bdd513701925918937930556/oeJ5etaEfpIA.mp4', 'width': 1280, 'height': 1280}}]","[{'name': '顏色', 'options': ['白色', '灰色', '咖啡色', '黃色', '藍色', '黑色'], 'images': ['4b3d1c4dc6d6a162587a792974e60627', '218af790d8427e05a842b39278ea28c4', 'd630ab67f1f9314ccbe9f497a7492ac7', 'b8577727c8808d73fc6bcf210fde4e4f', '3fb67ae75ab849edac9934425d61055b', '452e11eb61347a991119233fc9ea604b'], 'properties': [], 'type': 0}, {'name': '尺碼', 'options': ['M【建議100斤內】', 'L【建議100-115斤】', 'XL【建議115-130斤】', '2XL【建議130-150斤】', '3XL【建議150-165斤】'], 'images': None, 'properties': [], 'type': 0}]",5.0,"[2, 0, 0, 0, 0, 2]",1,1,0,,,False,0,False,False,False,False,False,False,False,,False,,,,8427574,True,,,,,0,,,False,False,中國大陸,False,,False,False,,,False,,8427574.0,2 件折 $16,82481231.0,TWFW1220,滿額折$5,,,,,,,,,
2,19916705.0,11711322.0,,0.0,wkdaelpmissisiht,YmZmdG9jdHcxLlVZdnhaWoyEWHyqhl0wqTEc2y00hoc1hnx3XCxnLJd5JG3w2ZFI8OKyoLomEkflAzoV0Yo4ELoGufRX8n9Z/Sh/aJgrGdr2Xe9u2FWZjbfa2dXWSzfg,,,,CiFjOmU9YjtwaWQ9QTsyLmEuMjc0QEJDRUhJT2NmZ21udzBIBHF48fNJYs6nP3kUkshqGb6SPw==,,2939150375,361800542,,,2939150375,361800542,【低價爆款】在台現貨🌸 春夏新款純色內搭打底衫工字吊帶背心女性感外穿港味印花無袖T恤无袖韩版女生小可愛 修身顯瘦 吊帶,"[25, 23, 1005523]",2d0b31a3eb9e692b13d27fd93bbd46fb,"['2d0b31a3eb9e692b13d27fd93bbd46fb', 'ad6dd87d523812f7a531aaeb9af7c36f', 'ddab3b467d1d5f3653487ba38a2cd325', '904d160fe14b040e89a5282ac1b69622', '2f1fa481a790e1638270dd8ce2b0e968', 'bccfb65cd84af02e1a8fc7e49a6485c9', 'efd5c39bc1259c685356ed7262c68319', 'fac6dc269e4716d3c434b9e4c774c119', 'd4dc850f2bfb5e04d1bc7ffc6b847649']",TWD,23293,1,1617609633,18,29,False,100,2609,62,自有品牌,8,65536,0,normal,12000000,12000000,15500000,-1,-1,,0,False,0,0,,False,,,"[{'name': '顏色分類', 'options': ['純T-白色', '純T-黑色', '726#白色', '726#黑色', '723#白色', '723#黑色', '729#白色', '729#黑色', '717#白色', '717#黑色', '貓咪白色', '貓咪黑色'], 'images': ['8fad9ca5160f84eddd4c0231b7aad785', '94a767273800606275511904fe00abe0', '2d0b31a3eb9e692b13d27fd93bbd46fb', 'ad6dd87d523812f7a531aaeb9af7c36f', 'efba6dbc7fdca0e9cf710e39554aa7c5', '796554f46f83eef71c5659b4b42cd34f', '7d227308ac0808e04b076f8b68d21838', '802f4a693b90895c82d859e8c849da7c', 'ea6205d5942b536be049a1bdfe7c7de5', 'efd5c39bc1259c685356ed7262c68319', 'fac6dc269e4716d3c434b9e4c774c119', 'd4dc850f2bfb5e04d1bc7ffc6b847649'], 'properties': [], 'type': 0}, {'name': '尺碼', 'options': ['M （建議47.5公斤以內）', 'L （建議55公斤以內）', 'XL （建議62.5公斤以內）', '2XL (建議70公斤以內）'], 'images': None, 'properties': [], 'type': 0}]",4.625,"[8, 0, 0, 1, 1, 6]",2,1,0,,,False,0,False,False,False,False,False,False,False,,False,,,,8522192,True,,,,,0,,,False,False,桃園市桃園區,False,,True,False,,,False,,8522192.0,6 件折 $20,,,,,,,,,,,,
3,21957508.0,12989279.0,,1.0,背心女,YmZmdG9jdHcxLlVZdnhaWpX0ff5kTo3xFk5PoZKWxqkGznS1ynXC/csrjGfKRbPL+CycxpQlL9LUEiMnhNGCoqeCcVtEhdSioNFfoYtW157cYEoHhEgpaEp4TdRIx5U2,,,,CiFjOmU9YjtwaWQ9QTsyLmEuMjc0QEJDRUhJT2NmZ21udzBxn4FH4fD+ij8=,,4891836032,455538747,,,4891836032,455538747,2021夏純色小吊帶背心打底衫內搭大碼圓領百搭性感小吊帶女,,82f3e354be7c7efd7bfad3abb8c50b86,"['82f3e354be7c7efd7bfad3abb8c50b86', '2f101713a57b776378af2fb1c81dc863', '50943b5500a17643fbe19a3dbad19aff', 'f96d92116fe7ea0f72c0888eaec4778c', '219ba8e086be02e49655bbbe340ffc3d', 'e35d901169f3eca635e6622e031d50d4', '333444a7ce2469ea8975d21c020cd4c5', '26c3c1c79ac8156d1692d61c87047baa', 'ccf3e1c2c1dcc538c222ab94d1411fc5']",TWD,10000,1,1623739427,0,0,False,1,1,62,,0,0,1,normal,6800000,6800000,6800000,27000000,27000000,,27000000,False,75,75,2.5,False,,,"[{'name': '顏色', 'options': ['白色', '黑色', '膚色', '交叉-白色', '交叉--黑色'], 'images': ['1df01c34587eff3ccd56aace6d513b25', 'b937880ebb16466661d5ae1c2a46c659', '4e45dc1db72e1f033bbc2867a84fbdfd', 'e1e6a14c11ee3adbcfee598700614e6b', '6a3c344f01926af7864e74fece5a14f7'], 'properties': [], 'type': 0}, {'name': '尺碼', 'options': ['均碼', '加大碼'], 'images': None, 'properties': [], 'type': 0}]",0.0,"[0, 0, 0, 0, 0, 0]",0,0,0,,,False,0,False,False,False,False,False,False,False,,False,,,,0,False,,,,,0,,,False,False,中國大陸,False,,False,False,,,False,,,,,,,,,,,,,,,
4,20178373.0,11882972.0,,0.0,wkdaelpmissisiht,YmZmdG9jdHcxLlVZdnhaWjezN0qZGjljPbyDtMjMq72VMLh2XOGo8N2JJ5P5qZ6uN8pXgpdEdywLLK8GB6yk9fEo9IXb1PuUySzlWgZyldJy6jQlyKAD51wKFa6r/TPY,,,,CiFjOmU9YjtwaWQ9QTsyLmEuMjc0QEJDRUhJT2NmZ21udzBIBHFNCysOOKOjP3lSi1YllaKJPw==,,3586910583,421788737,,,3586910583,421788737,女士無痕背心外穿吊帶衫內搭打底短款冰絲潮性感無袖針織性感夏加肥大尺碼200斤胖妹妹小可愛背心女外穿內搭韓版無袖上衣,,9ee236ce9c2d0714c728af6e4d18e9bf,"['9ee236ce9c2d0714c728af6e4d18e9bf', 'f74972a4019e0a01254724f0d92dfa2b', 'd7615b910354a57c631d50f890f1da9e', '72776af1b6d5e4627115f620d82bd612', '9d2666dbd2c8740a7dbb5d201d72761b', 'ef9bd6169cbbe1562a906a9c5e4e11fe', 'a9cc222e5b024d78b0b8de2e87090df1', '98e85ca669850a8af155b346f336b72b', 'c13172a0962d598af1988daa8be24e51']",TWD,14348,1,1619080085,5,22,False,12,512,62,自有品牌,5,65536,0,normal,3300000,3300000,8600000,-1,-1,,0,False,0,0,,False,,,"[{'name': '顏色分類', 'options': ['粉色 收藏店鋪定時活動', '白色 收藏寶貝優先發貨', '黑色 無縫裁邊舒適一夏', '灰色 大碼可選冰絲涼爽', '膚色 無痕無感輕柔百搭', '水綠色 春秋打底夏日單穿', '水藍色 輕薄不透彈力升級', '白色+白色【兩件裝】'], 'images': ['b93a026ce74cce1d5f3dfb73eecf52da', 'da1ca398350bd93bb18792971d3585ae', 'd63d068eed07f7108a315a9c0b16d43e', '259cd2d10046c700389877c998871c1d', 'afd5fa5d832a77339275c1c6732a4be5', '94cb4115fa349051cd8756b43bdcc9a3', '7e63d3f6f649328784db1fb7ef82cec9', '7dca16db233160eb1f8c2ff8c3ad22dc'], 'properties': [], 'type': 0}, {'name': '尺碼', 'options': ['M', 'L', 'XL', '2XL', '3XL', '4XL'], 'images': None, 'properties': [], 'type': 0}]",4.75,"[4, 0, 0, 0, 1, 3]",0,0,0,,,False,0,False,False,False,False,False,False,False,,False,,,,0,False,,,,,0,,,False,False,桃園市蘆竹區,False,,True,False,,,False,,,,,,,,,,,,,,,
5,,,,,,,,,,ogaPAQqMAWJmZi1zZWFyY2hfdHdfdHcxXzEwLjU5LjI0NC4yOV97MWY4YTFiODRjNTBhMTA0ODk1MDliYjIxZjgzNzMxMDA6MDEwMDAwNjUyMDMzMTJhYjowMDAwMDAxMGYyMGM2M2JjfV9rOHMtd29ya2VyLXR3MS1saXZlLTM3MC5zaG9wZWVtb2JpbGUuY29t,,235363080,16995972,,,235363080,16995972,【24小時快速出貨】莫代爾 女無袖 背心 前後U領 吊帶背心 寬肩帶 加大碼XL~6XL  [JC的店],"[16, 1000140, 1000508, 1000138, 1001499, 1000040, 1000365, 25, 1002853, 1004576, 1004846, 1000028, 1000289, 1000350, 1000364, 1000453, 1000464, 1000500, 1000562, 1001479, 1000490, 1000643, 1001500, 1001563, 1001784, 1003782, 1003469, 1003470, 1005522]",518164421596f88c799944e8f7cee6f6,"['518164421596f88c799944e8f7cee6f6', '90d34582d006db7ff774371a97ae8bfd', 'f4241eacc84461409fe2c5b32b347c15', '9962c0d0b520b54726b1dbeeedb838ae', 'f77aa3d79965e956b25dddef12e7f168', 'b3ef6bc7f65114ae79a4a31f9fe144f2', '4a9ff9c54ff594cbf00241de9a04ae32', '4f0133988f71ec2f261ab042a3963d96', '45a2144945abe7af8d7ccc20214d4676']",TWD,4228,1,1493205444,187,1423,False,417,2633,62,,473,196610,0,normal,9800000,9800000,9900000,-1,-1,,0,False,0,0,,False,1b87745598a0b408bd4b481a3c4b0101,,"[{'name': 'Variation', 'options': ['黑色', '白色', '灰色', '玫紅色'], 'images': ['1a5c5f1c1986f2fb76bcf8e8d352f8cf', '5369c1cc0b74a88abbf2172c58708f01', '9a7f505b13dc24802f1cc8b0e5187c7f', '336b0fd6eee18fb7982ca6d8acb78990'], 'properties': [], 'type': 0}, {'name': '尺碼', 'options': ['XL[40-50公斤]', '2XL[50-60公斤]', '3XL[60-70公斤]', '4XL[70-80公斤]', '5XL[80-90公斤]', '6XL[90-100公斤]'], 'images': None, 'properties': [], 'type': 0}]",4.961206896551724,"[464, 1, 0, 3, 8, 452]",145,51,0,,,False,0,True,False,False,True,False,False,False,,True,,,,0,False,,,,,0,,,False,False,臺中市豐原區,False,,True,False,,,False,,,,,,,,,,0.0,[0],,,,
6,,,,,,,,,,ogaPAQqMAWJmZi1zZWFyY2hfdHdfdHcxXzEwLjU5LjI0NC4yOV97MWY4YTFiODRjNTBhMTA0ODk1MDliYjIxZjgzNzMxMDA6MDEwMDAwNjUyMDMzMTJhYjowMDAwMDAxMGYyMGM2M2JjfV9rOHMtd29ya2VyLXR3MS1saXZlLTM3MC5zaG9wZWVtb2JpbGUuY29t,,6530999159,1356702,,,6530999159,1356702,螺紋工字背心 棉質背心 糖果色舒適彈力百搭款 女生背心 女背心 小背心 A117,"[16, 1000140, 1000508, 1000503, 1001499, 1001777, 1001779, 1002553, 1002552, 1003145, 25, 1003754, 1002127, 1004555, 1005833, 1005837, 1000028]",72f0af9541d859624a1c96bb58e95c65,"['72f0af9541d859624a1c96bb58e95c65', '8984c73deb69d142266078a3b471fec4', 'f578e500d0d568d1bede68f12fe21ab7', '1073cd3269c1c5caa9c4388c52bd1331', '3a5d15526f269647d8bc290bbbf879f0', 'ff9d520a7cb2f1622962403d2c260e50', '47a2aac2e016d2e43bb8edd31fd0a182', 'f7cba955567fd972c8bdcec851c67e53', '9d971264e01d9781b0938b106442b5c9']",TWD,311,1,1587619459,51,490,False,168,1998,62,自有品牌,96,196608,0,normal,4500000,4500000,4500000,-1,-1,,0,False,0,0,,False,,,"[{'name': 'Variation', 'options': ['黑色', '寶藍', '白色', '黃色', '深灰'], 'images': None, 'properties': [], 'type': 0}]",4.821052631578947,"[95, 1, 0, 5, 3, 86]",10,7,0,,,False,0,False,True,True,False,True,False,False,,False,,,,0,False,,,,,0,,,False,False,臺中市西屯區,False,,True,False,,,False,,,,,,,,,,0.0,[0],2850124.0,加價購,0.0,1.0
7,,,,,,,,,,ogaPAQqMAWJmZi1zZWFyY2hfdHdfdHcxXzEwLjU5LjI0NC4yOV97MWY4YTFiODRjNTBhMTA0ODk1MDliYjIxZjgzNzMxMDA6MDEwMDAwNjUyMDMzMTJhYjowMDAwMDAxMGYyMGM2M2JjfV9rOHMtd29ya2VyLXR3MS1saXZlLTM3MC5zaG9wZWVtb2JpbGUuY29t,,5243593854,169621818,,,5243593854,169621818,無袖T恤女球衣寬鬆外穿籃球服背心bf泫雅風學生百搭ins網紅上衣夏無袖背心,"[1004440, 1004773, 1004775, 1004776, 1005371, 1005314, 1005313, 1004777, 1005315]",23f3f817225fda46fbaf0241645909c1,"['23f3f817225fda46fbaf0241645909c1', 'd219e4cecad9ba040d47143917733440', 'c276caebc1e3549e8d6c826885ed6722', 'abadb6715b08f074002d436749dfb289', 'fc44d8545d4eb4b63c2dbe96de7f3658', 'ccf2b67f9be73158975ec49addd32a3b']",TWD,2268,1,1595601045,90,191,False,736,14058,62,自有品牌,89,65536,0,normal,9900000,9900000,9900000,31000000,31000000,,31000000,False,68,68,3.2,False,,,"[{'name': '顏色', 'options': ['軍綠色'], 'images': ['23f3f817225fda46fbaf0241645909c1'], 'properties': [], 'type': 0}, {'name': '尺碼', 'options': ['M', 'L', 'XL'], 'images': None, 'properties': [], 'type': 0}]",4.853932584269663,"[89, 1, 0, 0, 9, 79]",13,12,0,,,False,0,False,False,False,False,False,False,False,,False,,,,0,False,,,,,0,,,False,False,桃園市大園區,False,,True,False,,,False,,,,,,,,,,0.0,[0],,,,
8,,,,,,,,,,ogaPAQqMAWJmZi1zZWFyY2hfdHdfdHcxXzEwLjU5LjI0NC4yOV97MWY4YTFiODRjNTBhMTA0ODk1MDliYjIxZjgzNzMxMDA6MDEwMDAwNjUyMDMzMTJhYjowMDAwMDAxMGYyMGM2M2JjfV9rOHMtd29ya2VyLXR3MS1saXZlLTM3MC5zaG9wZWVtb2JpbGUuY29t,,6037117882,260066447,,,6037117882,260066447,S-4XL✿90公斤可穿大尺碼小可愛✿ 大尺碼鈕釦背心女夏外穿冰絲針織衫百搭打底衫性感v領T桖上衣女,"[16, 1000449, 1000140, 1000508, 1000138, 1001499, 1001777, 1001779, 1001942, 1002553, 1002552, 1001511, 1000553, 1003145, 1003754, 1000365, 1000040, 25, 1001578, 1004576, 1005141, 1005228, 1000289, 1000335, 1000364, 1000430, 1000487, 1001270, 1001808, 1000626, 1000613, 1000028, 1002200, 1002443, 1002188, 1002825, 1004773, 1004850, 1005019, 1004775, 1004776, 1005371, 1005314, 1005313, 1004777, 1005315]",624af1fa434d2d1ed0e69b6494f56d16,"['624af1fa434d2d1ed0e69b6494f56d16', '01ec44d89789980cd4b517328e806250', '98bae23cab867ce503d2f2fac7aa4446', '362ffef5d8094a96b08d824a3afff304', '7eded354f5674e94c8e50c7810ff2ea1', '2f269e55175ed17940327011279258ca', 'd570fc9a8a602cf8e4ee7a8948ce82d7', '8082067ad8bbba6cbdfb365c44d9eb39', '754653e9d292b20b4cea15e307e1b59c']",TWD,46131,1,1591623054,190,2665,False,1038,4183,62,自有品牌,683,196608,1,normal,6800000,6800000,6800000,10500000,10500000,,10500000,False,35,35,6.5,False,,"[{'video_id': 'KMgCreUh50Wmwbf5', 'thumb_url': 'aa6c2ed89b4082ddaa3bd0d2b34ec361', 'duration': 45, 'version': 0, 'vid': '', 'formats': [], 'default_format': None}]","[{'name': '颜色', 'options': ['黑色 優質冰絲不起球不掉色不縮水', '白色 優質冰絲不起球不掉色不縮水', '草綠色 優質冰絲不起球不掉色不縮水', '杏色 優質冰絲不起球不掉色不縮水', '薑黃色 優質冰絲不起球不掉色不縮水', '檸檬黃 優質冰絲不起球不掉色不縮水', '天藍色 優質冰絲不起球不掉色不縮水'], 'images': ['b3df1a29721a55805a298ee8a1cf5898', 'c70d948e6d4cd05b76cf6934a8ed0ee5', 'ae0ac3c589f3fc054ac2b511f23761ca', 'c521d9c79230cdac36df39b1d8b0f29d', '914b12f57782da4c91d7c0aeb6f9d38f', '2faeaf83e0cabdf923f9717c8cfd8320', '4c40e165fbb748d6571ddd074440dd4d'], 'properties': [], 'type': 0}, {'name': '尺码', 'options': ['S 建議40-45KG', 'M     建議45-50KG', 'L      建議50-55KG', 'XL 建議55-60KG', '2XL 建議60-65KG', '3XL 建議65-75KG', '4XL 建議75-90KG'], 'images': None, 'properties': [], 'type': 0}]",4.874084919472914,"[683, 5, 0, 11, 44, 623]",190,156,0,,,False,0,True,False,False,True,False,False,False,,False,,,,0,False,,,,,0,,,False,False,中國大陸,False,,True,False,,,False,,,,82836443.0,25OC25292,滿額折$30,,,,0.0,[0],,,,
9,,,,,,,,,,ogaPAQqMAWJmZi1zZWFyY2hfdHdfdHcxXzEwLjU5LjI0NC4yOV97MWY4YTFiODRjNTBhMTA0ODk1MDliYjIxZjgzNzMxMDA6MDEwMDAwNjUyMDMzMTJhYjowMDAwMDAxMGYyMGM2M2JjfV9rOHMtd29ya2VyLXR3MS1saXZlLTM3MC5zaG9wZWVtb2JpbGUuY29t,,3738270085,240772138,,,3738270085,240772138,現貨供應 【低價爆款】女士涼感無袖背心 冰絲背心 吊帶女夏季打底衫 高彈內搭 韓版性感背心 小可愛 修身顯瘦 吊帶衫,"[16, 1000449, 1000508, 1001499, 1001942, 1001511, 1000553, 25, 1004780, 1005141, 1005228, 1005132, 1000028, 1000430, 1000573, 23, 1003135, 1004356, 1004131, 1004440, 1004685, 1004773, 1004850, 1004824, 1004775, 1004776, 1005371, 1005314, 1005313, 1004777, 1005315, 1005523]",de5ab17687a1c52f0bd5e1bdda70aea0,"['de5ab17687a1c52f0bd5e1bdda70aea0', '0fc7a7ede94cd813f58afaf68ad91206', 'abb22a68a0a6017b39cfe568f9aea9bb', '1b1da7603df1e5ee49a01ebf8b8ebdd0', 'd74a174b45ff4c3ad07f6c1823ec5787', 'fcefe18c2cfefbf1681afdb6e11a0cca', '916e4bd9807795e8f377f7e0f4f74d63', '90ec718f37561eb3170096769f92f492', '5896470bdf69e2c00e93af0a1692da46']",TWD,5689,1,1592238462,417,2460,False,793,10934,62,自有品牌,334,65536,1,normal,3800000,3800000,5900000,15700000,15700000,,15700000,False,76,76,2.4,False,,"[{'video_id': 'a4b18e6cfcf179aa226b29d1df6b414f', 'thumb_url': 'e50d76ab51ac9f8b8748f008231aabeb', 'duration': 35, 'version': 1, 'vid': None, 'formats': [], 'default_format': None}]","[{'name': '颜色', 'options': ['黑色', '白色', '藕色', '粉色', '水蘭', '綠色', '紫色'], 'images': ['8c05a6c8e159802f5f097d48b4029056', '24c633e5f30bdb632bc82a599857fad1', '209cc7f894da144aa04d00b8b4c2775f', '567e8125abd449d941649c7975b1bb0e', '01b2d9ada4fd0bab9cf194609b665864', '6f3d6137f9a786d0d264cc145ad9c179', '22a2c9d3e8f5ca786dde03405a5a8315'], 'properties': [], 'type': 0}, {'name': '尺码', 'options': ['M 【建議40-47.5kg】', 'L 【建議47.5-55kg】', 'XL 【建議52.5-60kg】', '2XL【建議60-67.5kg】', '3XL 【建議67.5-75kg】'], 'images': None, 'properties': [], 'type': 0}]",4.775449101796407,"[334, 0, 0, 22, 31, 281]",94,68,0,,,False,0,False,False,False,False,False,False,False,,False,,,,8786904,True,,,,,0,,,False,False,中國大陸,False,,True,False,,,False,,8786904.0,5 件 9.5折,,,,,,,0.0,[0],,,,
