,Brand,Type,Title,Describe,Price,Year,Distance
0,Mercedes-Benz,GLC GLC300 2018款 2.0L,Mercedes-Benz GLC GLC300 2018款 2.0L,Sam國際車庫 四輪傳動 23P LED頭燈 全景天窗 自動停車 360度環景,178,2017,2.5萬km
1,BMW,3-Series Sedan M340i XDrive 2020款 3.0L,BMW 3-Series Sedan M340i XDrive 2020款 3.0L,坦桑尼亞藍寶石/原廠認證車/50萬豪華選配/可享新車保固/設有全能保修廠,電洽,2019,8000km
2,Mercedes-Benz,E-Class Sedan E300 2018款 2.0L,Mercedes-Benz E-Class Sedan E300 2018款 2.0L,未領牌/AMG/P20進階駕駛/多光束頭燈/抬頭顯示器/四輪傳動/新車保固,電洽,2017,4.0萬km
3,Nissan,Juke 2016款 1.6L,Nissan Juke 2016款 1.6L,全車系全額貸款貸款利率優惠中/月付超低/信用小白/瑕疵強力過件,42,2016,8.0萬km
4,Mercedes-Benz,CLA CLA250 2020款 2.0L,Mercedes-Benz CLA CLA250 2020款 2.0L,Benz CLA250 AMG 夜色套件 全景天窗 真皮座椅 弘達桃園,188,2019,3.7萬km
5,Mercedes-Benz,GLC GLC300 2019款 2.0L,Mercedes-Benz GLC GLC300 2019款 2.0L,Benz GLC300 4 MATIC AMG 低里程 柏林音響 桃園弘達,199,2019,5000km
6,Mercedes-Benz,C-Class Sedan AMG C43 2019款 3.0L,Mercedes-Benz C-Class Sedan AMG C43 2019款 3.0L,Benz C43 AMG 小改款 全液晶螢幕 賽車椅 23P 跑車排氣管,268,2019,5000km
7,Luxgen,U6 Turbo ECO Hyper 2018款 1.8L,Luxgen U6 Turbo ECO Hyper 2018款 1.8L,超狂價差40萬起跳★★免頭款★免保人【FB搜尋:圓夢中古車s小謝嚴選-認證車】,24.8,2017,4.0萬km
8,BMW,5-Series Sedan 540i M Sport 2017款 3.0L,BMW 5-Series Sedan 540i M Sport 2017款 3.0L,G30 540i M版 5AT 抬頭顯示器 360度環景 弘達桃園#77660,195,2016,5.9萬km
9,BMW,3-Series Sedan 330i 2019款 2.0L,BMW 3-Series Sedan 330i 2019款 2.0L,G20 330i 超低里程 5AS 天窗 三區恆溫 弘達桃園#26009,165,2019,3.1萬km
10,Toyota,Yaris 2016款 1.5L,Toyota Yaris 2016款 1.5L,超貸找現金/小車大空間/省油省稅金/保值車款,29,2016,8.0萬km
11,Mercedes-Benz,C-Class Sedan AMG C300 2017款 2.0L,Mercedes-Benz C-Class Sedan AMG C300 2017款 2.0L,Sam國際車庫 AMG 23P 自動停車 前後雷達 全景 盲點 摸門 免鑰,157,2017,5.3萬km
12,Toyota,Corolla Altis 2020款 1.8L,Toyota Corolla Altis 2020款 1.8L,【主打百分之百過件全額貸款】ＦＢ搜尋 ：宇安嚴選中古車,58.8,2020,5000km
13,Suzuki,Swift 2019款 1.1L以下,Suzuki Swift 2019款 1.1L以下,【主打全額貸】 0元把車帶回家 ＦＢ搜尋 宇安嚴選中古車,38.8,2019,1.0萬km
14,Mercedes-Benz,GLC GLC300 2018款 2.0L,Mercedes-Benz GLC GLC300 2018款 2.0L,19吋AMG鋼圈，AMG夜色套件，LED頭燈，環景倒車影像，電尾門，停車輔助雷達,電洽,2018,4.5萬km
15,Mercedes-Benz,C-Class Sedan AMG C300 2016款 2.0L,Mercedes-Benz C-Class Sedan AMG C300 2016款 2.0L,Sam國際車庫 柏林之音 夜色套件 冷熱通風 全景 designo內裝,電洽,2016,5.1萬km
16,Toyota,Yaris 2008款 1.5L,Toyota Yaris 2008款 1.5L,✔️一手車✔️雙證件核貸✔️免頭款全額貸✔️低利率✔️實車實價,15.8,2008,10.0萬km
17,Ford,Focus 2017款 1.5L,Ford Focus 2017款 1.5L,『主打呼吸專案 百分之百強力過件』、『軍公教2.88%起』,39.8,2017,4.5萬km
18,Mercedes-Benz,E-Class Coupe E200 2014款 2.0L,Mercedes-Benz E-Class Coupe E200 2014款 2.0L,【七期市政】成功人生的代名詞 - C207 E200 Coupe 小改款車型,109.8,2014,2.6萬km
19,BMW,3-Series Coupe 320i 2012款 2.0L,BMW 3-Series Coupe 320i 2012款 2.0L,【七期市政】美學精萃、魅力昇華 E92 320ci Facelift 小改款車型,69.8,2012,2.1萬km
20,Toyota,Corolla Altis 2020款 1.8L,Toyota Corolla Altis 2020款 1.8L,『主打呼吸專案 百分之百強力過件』、『軍公教2.88%起』,48.8,2020,1.7萬km
21,BMW,4-Series Coupe 440i M Sport 2021款 3.0L,BMW 4-Series Coupe 440i M Sport 2021款 3.0L,BMW M440i 到港全新車 電尾門 2020年 弘達國際 #F10658,318,2020,100km
22,Honda,Fit 2018款 1.5L,Honda Fit 2018款 1.5L,全車系全額貸款貸款利率優惠中/月付超低/信用小白/瑕疵強力過件,43,2018,2.0萬km
23,Mercedes-Benz,GLC GLC300 2017款 2.0L,Mercedes-Benz GLC GLC300 2017款 2.0L,Benz 正17GLC300 AMG 雙魚眼頭燈 自動停車系統 全景天窗,168,2017,5.2萬km
24,Mercedes-Benz,A-Class A250 2020款 2.0L,Mercedes-Benz A-Class A250 2020款 2.0L,BENZ 正20 A250 AMG 夜色套件 天窗 雙液晶螢幕 桃園弘達,183,2020,1000km
25,Mercedes-Benz,GLC GLC300 2017款 2.0L,Mercedes-Benz GLC GLC300 2017款 2.0L,Benz GLC300 AMG LED頭燈 自動停車系統 全景天窗,153,2016,9.5萬km
26,Mercedes-Benz,GLC GLC300 2020款 2.0L,Mercedes-Benz GLC GLC300 2020款 2.0L,Benz 正20 GLC300 AMG 低里程 全景天窗 360環景 自動停車,222,2020,1.2萬km
27,Hyundai,Elantra 2013款 1.8L,Hyundai Elantra 2013款 1.8L,旗艦款 可0元頭期款 可全額貸款 信用空白瑕疵皆可辦理,24.8,2012,11.7萬km
28,Volkswagen,Golf GTI 2018款 2.0L,Volkswagen Golf GTI 2018款 2.0L,GTI 7.5代 原廠保固中 全新VVS閥門排氣管 里程保證 可全額貸款,95.8,2017,5.3萬km
29,Honda,Civic 2012款 1.8L,Honda Civic 2012款 1.8L,RR空力套件 里程保證 0元頭期款 可全額貸款 超額貸款 信用空白瑕疵皆可,26.5,2011,11.3萬km
30,Volkswagen,Golf 2012款 1.6L,Volkswagen Golf 2012款 1.6L,全新R前保桿&GTI頭燈&R20LED尾燈&全新後流水方向燈 可0元頭期全額貸款,23.5,2011,10.6萬km
31,Volkswagen,Golf GTI 2017款 2.0L,Volkswagen Golf GTI 2017款 2.0L,限量款白色Clubsport 精品改裝 蠍子管 Eventuri進氣系統 里程低,128.8,2016,2.2萬km
32,Toyota,Vios 2017款 1.5L,Toyota Vios 2017款 1.5L,~實車實價【泰洋】聯盟五大保固 一手車 里程保證 安卓機 認證車 零頭款 可全貸,33.8,2017,11.0萬km
33,Toyota,Innova 2016款 2.0L,Toyota Innova 2016款 2.0L,~實車實價【泰洋】聯盟五大保固 一手車 里程保證 安卓機 認證車 零頭款 可全貸,37.8,2015,6.4萬km
34,Suzuki,Swift 2009款 1.5L,Suzuki Swift 2009款 1.5L,FB搜尋:【金美麗汽車廣場】『免頭款、全額貸』 我的用心 讓你放心,10,2009,6.0萬km
35,Maserati,Quattroporte 2017款 3.0L,Maserati Quattroporte 2017款 3.0L,駿岳-小魏 總代理 一手車 快樂波特SQ4 選配H/K音響 方向盤 原木飾板,268,2016,5.0萬km
36,Porsche,718 Boxster 2017款 2.0L,Porsche 718 Boxster 2017款 2.0L,Porsche 718Boxster 前後雷達 17年弘達國際 #21933,258,2017,6.2萬km
37,BMW,X3 SDrive30i 2019款 2.0L,BMW X3 SDrive30i 2019款 2.0L,BMW X3 30i Msport運動版 全景 19年 弘達國際 #F33566,185,2018,3.4萬km
38,Toyota,Sienna 2021款 2.5L,Toyota Sienna 2021款 2.5L,【滿吉國際】LE 菁英版 八人座 & 全新車 & 自動跟車系統 & 盲點偵測,195.8,2021,174km
39,BMW,M3 Sedan 手排版 2017款 3.0L,BMW M3 Sedan 手排版 2017款 3.0L,【滿吉國際】Competition競技版 x 左3右6 x 陶瓷煞車 x H/K,286.8,2017,3.2萬km
40,Mercedes-Benz,GLC GLC300 2017款 2.0L,Mercedes-Benz GLC GLC300 2017款 2.0L,BENZ GLC300 AMG 全景 盲點 免鑰 17年 弘達國際#246321,152,2017,8.0萬km
41,BMW,M6 Gran Coupe 2013款 4.4L,BMW M6 Gran Coupe 2013款 4.4L,BMW M6 GranCoupe 13年 弘達國際 #73342,電洽,2013,7.6萬km
42,BMW,7-Series 740i M Sport 2016款 3.0L,BMW 7-Series 740i M Sport 2016款 3.0L,BMW 740Msport 稀有高級四座沙發 16年 弘達國際 #547974,248,2016,6.1萬km
43,BMW,M4 Coupe 2015款 3.0L,BMW M4 Coupe 2015款 3.0L,自售 2015 總代理 BMW M4 精品內外改裝 無事故,電洽,2014,6.0萬km
44,BMW,X4 XDrive30i M Sport 2021款 2.0L,BMW X4 XDrive30i M Sport 2021款 2.0L,BMW X4 Msport 5AU 全新車 21年 弘達國際 #16260,268,2020,100km
45,Mercedes-Benz,GLC GLC300 2020款 2.0L,Mercedes-Benz GLC GLC300 2020款 2.0L,【滿吉國際】GLC300 AMG & 全景天窗 & 低里程 & 夜色套件,228.8,2020,5230km
46,Mercedes-Benz,GLC GLC300 2017款 2.0L,Mercedes-Benz GLC GLC300 2017款 2.0L,BENZ GLC300 AMG 23P 雙魚眼 17年 弘達國際#005014,175,2017,7.9萬km
47,BMW,M5 Sedan 2012款 4.4L,BMW M5 Sedan 2012款 4.4L,自售 西裝暴徒 BMW M5  無事故 無待修 可換同級車  Ghibli,電洽,2011,9.0萬km
48,Porsche,Panamera4 Sport Turismo 2020款 3.0L,Porsche Panamera4 Sport Turismo 2020款 3.0L,【滿吉國際】20年式 Panamera 4 Sport Turismo總代理,電洽,2019,8000km
49,BMW,1-Series Hatchback 116i 2014款 1.6L,BMW 1-Series Hatchback 116i 2014款 1.6L,"自售非常新很乾淨的車,無任何事故問題",63.8,2014,12.0萬km
