,id,m_id,auto_brand_en,auto_brand_id,auto_gas_size,auto_make_date,auto_mileage_num,auto_price,auto_price_tag,auto_price_type,auto_title_all,item_post_date,item_renew_date,is_new,item_show_num,photo,photoList,rank,score,new_item_show_num,item_kind_name,item_kind_name_en,item_model_name_en,photoNum,is_check,is_vip,is_red,is_realPrice,is_seven,extra_tag,survey_report,organi,top_dealer_item,is_mobile,auto_address,auto_tab_name,auto_year_type,is_audi,is_auction,video_url,org_icon,is_original,adPromotion,ad_featured_pc,sort.mIsTop,sort.isVip,sort.isShow,sort.autoPriceType,sort.priceOrder,sort.checkCarStatus,car_color,car_driveMode,car_fuel,car_door,car_seat,car_license,verified,dealer_name,seller_role,dealer_address,胎壓偵測,動態穩定系統,防盜系統,keyless免鑰系統,循跡系統,中控鎖,剎車輔助系統,兒童安全椅固定裝置,ABS防鎖死,安全氣囊,定速系統,LED頭燈,倒車顯影系統,衛星導航,多功能方向盤,倒車雷達,恆溫空調,自動停車系統,電動天窗,真皮/皮革座椅
0,2785702,145166,BMW,6,3.0L,<b>2016</b>年,<b>6.0</b>萬km,0.0,<b>電洽</b>,3,柏美車庫-A.T.D  稀有黑色 M4 左3右5 卡夢頂,2021-06-09 17:48:41,<font>6分鐘內更新</font>,,547,https://p2.8891.com.tw/2021/06/09/1623237090015812_220_165.jpg,https://p2.8891.com.tw/2021/06/09/1623237090015812_300_225.jpg,1,,547.0,M4,M4,Coupe,17.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,桃園市,手自排,2017,False,False,,[],0.0,[],0.0,0.0,1.0,1.0,3.0,0.0,0.0,黑色,2WD,汽油,2門,4座,未領牌,0,柏美車庫-A.T.D,柏美車庫-A.T.D,桃園市八德區建新街485之5號,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,2803332,159782,Mercedes-Benz,27,2.0L,<b>2017</b>年,<b>9.3</b>萬km,109.0,<b>109</b>萬,3,BENZ METRIS 安卓機 八人座 17年 弘達國際#92314,2021-06-28 10:17:04,<font>6分鐘內更新</font>,1.0,522,https://p2.8891.com.tw/2020/06/23/1592892770792578_220_165.jpg,https://p2.8891.com.tw/2020/06/23/1592892770792578_300_225.jpg,2,,522.0,Metris,Metris,Vans,17.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,新北市,手自排,2017,False,False,,[],0.0,[],0.0,0.0,1.0,1.0,3.0,0.0,0.0,黑色,2WD,汽油,5門,8座,未領牌,0,弘達國際汽車,弘達國際汽車,新北市泰山區,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
2,2786818,702837,Mercedes-Benz,27,2.0L,<b>2017</b>年,<b>5.3</b>萬km,0.0,<b>電洽</b>,3,Sam國際車庫 AMG 23P 自動停車 前後雷達 全景 盲點 摸門 免鑰,2021-06-10 17:51:13,<font>6分鐘內更新</font>,,684,https://p1.8891.com.tw/2021/06/10/1623318024168485_220_165.jpg,https://p1.8891.com.tw/2021/06/10/1623318024168485_300_225.jpg,3,,684.0,C-Class Sedan,C-Class Sedan,AMG C300,20.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,新竹縣,手自排,2017,False,False,,[],0.0,[],0.0,0.0,1.0,1.0,3.0,0.0,0.0,黑色,4WD,汽油,4門,5座,未領牌,0,尤先生,車商賣家,新竹縣竹北市,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
3,2808069,710622,BMW,6,3.0L,<b>2010</b>年,<b>21.3</b>萬km,55.0,<b>55</b>萬,3,忍痛割愛 自售2010年 BMW 330i Performance極限運動,2021-07-02 14:41:10,<font>7分鐘內更新</font>,1.0,101,https://p1.8891.com.tw/2021/07/02/1625207401231319_220_165.jpg,https://p1.8891.com.tw/2021/07/02/1625207401231319_300_225.jpg,4,,101.0,3-Series Convertible,3-Series Convertible,330i,10.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,台北市,手自排,2010,False,False,,[],0.0,[],0.0,0.0,1.0,1.0,3.0,0.0,0.0,灰色,2WD,汽油,4門,5座,2010年12月領牌,0,王先生,個人賣家,台北市中正區,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,2785088,183590,Nissan,32,1.6L,<b>2016</b>年,<b>8.0</b>萬km,42.0,<b>42</b>萬,3,全車系全額貸款貸款利率優惠中/月付超低/信用小白/瑕疵強力過件,2021-06-09 11:42:14,<font>8分鐘內更新</font>,,706,https://p2.8891.com.tw/2021/06/07/1623047173635860_220_165.jpg,https://p2.8891.com.tw/2021/06/07/1623047173635860_300_225.jpg,5,,706.0,Juke,Juke,,12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,桃園市,自排,2016,False,False,,[],0.0,[],0.0,0.0,1.0,1.0,3.0,0.0,0.0,藍色,4WD,汽油,5門,5座,2017年02月領牌,0,阿書強打桃園中古車,阿書強打桃園中古車,桃園市中壢區新中北路819-8號,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
5,2803293,159782,Mercedes-Benz,27,2.0L,<b>2019</b>年,<b>3.3</b>萬km,149.0,<b>149</b>萬,3,BENZ A220 魚眼 全景天窗 記憶椅 19年 弘達國際#22534,2021-06-28 09:54:59,<font>12分鐘內更新</font>,1.0,330,https://p2.8891.com.tw/2021/01/25/1611554642811096_220_165.jpg,https://p2.8891.com.tw/2021/01/25/1611554642811096_300_225.jpg,6,,330.0,A-Class,A-Class,A220,16.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,新北市,手自排,2019,False,False,,[],0.0,[],0.0,0.0,1.0,1.0,3.0,0.0,0.0,黑色,2WD,汽油,4門,5座,未領牌,0,弘達國際汽車,弘達國際汽車,新北市泰山區,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
6,2787784,175472,Suzuki,44,1.1L以下,<b>2019</b>年,<b>1.0</b>萬km,38.8,<b>38.8</b>萬,3,【主打全額貸】 0元把車帶回家 ＦＢ搜尋 宇安嚴選中古車,2021-06-11 16:01:08,<font>15分鐘內更新</font>,,"<span class=""Red"">4316</span>",https://p1.8891.com.tw/2019/09/21/2/1569047829190067_220_165.jpg,https://p1.8891.com.tw/2019/09/21/2/1569047829190067_300_225.jpg,7,,4316.0,Swift,Swift,,20.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,新竹縣,手自排,2019,False,False,,[],0.0,[],0.0,0.0,1.0,1.0,3.0,0.0,0.0,白色,2WD,汽油,5門,5座,2019年06月領牌,0,智宇 中古車買賣,智宇 中古車買賣,新竹縣湖口鄉,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
7,2808406,159782,BMW,6,3.0L,<b>2019</b>年,<b>1.0</b>萬km,268.0,<b>268</b>萬,3,BMW X4 M40i 紅內裝 液晶儀表 抬顯 19年 弘達國際#33161,2021-07-02 17:51:37,<font>16分鐘內更新</font>,1.0,165,https://p1.8891.com.tw/2021/06/02/1622613625011427_220_165.jpg,https://p1.8891.com.tw/2021/06/02/1622613625011427_300_225.jpg,8,,165.0,X4,X4,M40i,20.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,新北市,手自排,2019,False,False,,[],0.0,[],0.0,0.0,1.0,1.0,3.0,0.0,0.0,黑色,4WD,汽油,5門,5座,未領牌,0,弘達國際汽車,弘達國際汽車,新北市泰山區,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
8,2715411,283974,Suzuki,44,1.5L,<b>2009</b>年,<b>6.0</b>萬km,10.0,<b>10</b>萬,3,FB搜尋:【金美麗汽車廣場】『免頭款、全額貸』 我的用心 讓你放心,2021-03-31 16:07:17,<font>19分鐘內更新</font>,,"<span class=""Red"">11167</span>",https://p2.8891.com.tw/2021/03/31/1617157535970842_220_165.jpg,https://p2.8891.com.tw/2021/03/31/1617157535970842_300_225.jpg,9,,11167.0,Swift,Swift,,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,桃園市,自排,2009,False,False,,[],0.0,[],0.0,0.0,1.0,1.0,3.0,0.0,0.0,白色,2WD,汽油,5門,5座,未領牌,0,金美麗汽車廣場,金美麗汽車廣場,桃園市桃園區文中路308號,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
9,2789465,374794,Mercedes-Benz,27,2.0L,<b>2016</b>年,<b>8.2</b>萬km,143.0,<b>143</b>萬,3,Benz C300 AMG 23P 360環 自動停車 柏林知音 #5389,2021-06-13 15:47:30,<font>22分鐘內更新</font>,,471,https://p2.8891.com.tw/2021/04/08/1617873972172006_220_165.jpg,https://p2.8891.com.tw/2021/04/08/1617873972172006_300_225.jpg,10,,471.0,C-Class Sedan,C-Class Sedan,C300,15.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,桃園市,手自排,2017,False,False,,[],0.0,[],0.0,0.0,1.0,1.0,3.0,0.0,0.0,白色,4WD,汽油,4門,5座,未領牌,0,弘達國際桃園店,弘達國際桃園店,桃園市桃園區文中路491號,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
