,id,car_color,car_driveMode,car_fuel,car_door,car_seat,car_license,verified,dealer_name,seller_role,dealer_address,胎壓偵測,動態穩定系統,防盜系統,keyless免鑰系統,循跡系統,中控鎖,剎車輔助系統,兒童安全椅固定裝置,ABS防鎖死,安全氣囊,定速系統,LED頭燈,倒車顯影系統,衛星導航,多功能方向盤,倒車雷達,恆溫空調,自動停車系統,電動天窗,真皮/皮革座椅
0,2768037,白色,2WD,油電複合,5門,5座,未領牌,0,鼎鑫汽車有限公司,鼎鑫汽車有限公司,桃園市桃園區文中路507號一樓,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
0,2786554,白色,4WD,汽油,4門,5座,未領牌,0,滿吉國際股份有限公司,滿吉國際股份有限公司,新北市新店區中興路二段196號,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
0,2767988,白色,2WD,油電複合,5門,8座,未領牌,0,辛先生,車商賣家,新竹縣竹北市,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
0,2806013,藍色,2WD,汽油,4門,5座,未領牌,0,滿吉國際股份有限公司,滿吉國際股份有限公司,新北市新店區中興路二段196號,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
0,2767942,黑色,2WD,汽油,4門,5座,未領牌,0,宏霖汽車有限公司,宏霖汽車有限公司,台北市內湖區內湖路一段126-1號,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,2768051,白色,2WD,油電複合,5門,7座,未領牌,0,滿吉國際股份有限公司,滿吉國際股份有限公司,新北市新店區中興路二段196號,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
0,2768008,灰色,2WD,油電複合,5門,7座,未領牌,0,滿吉國際股份有限公司,滿吉國際股份有限公司,新北市新店區中興路二段196號,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
0,2767990,黑色,2WD,油電複合,5門,8座,未領牌,0,滿吉國際股份有限公司,滿吉國際股份有限公司,新北市新店區中興路二段196號,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
0,2767961,白色,2WD,汽油,4門,5座,未領牌,0,滿吉國際股份有限公司,滿吉國際股份有限公司,新北市新店區中興路二段196號,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
0,2792245,其他(金屬墨玉黑),4WD,汽油,5門,5座,2019年07月領牌,0,滿吉國際股份有限公司,滿吉國際股份有限公司,新北市新店區中興路二段196號,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,2804331,銀色,2WD,汽油,4門,5座,2017年08月領牌,0,滿吉國際股份有限公司,滿吉國際股份有限公司,新北市新店區中興路二段196號,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1
0,2767963,白色,4WD,汽油,4門,5座,未領牌,0,辛先生,車商賣家,新北市蘆洲區,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,2787884,白色,2WD,柴油,5門,7座,2012年12月領牌,0,滿吉國際股份有限公司,滿吉國際股份有限公司,新北市新店區中興路二段196號,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
0,2767844,白色,2WD,汽油,2門,4座,未領牌,1,辛先生,車商賣家,新竹縣竹北市,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
0,2808403,藍色,2WD,汽油,4門,5座,未領牌,0,滿吉國際股份有限公司,滿吉國際股份有限公司,新北市新店區中興路二段196號,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,2768058,黑色,2WD,油電複合,5門,7座,未領牌,0,弘達國際汽車,弘達國際汽車,新北市泰山區,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
0,2800723,其他(金屬黑),2WD,汽油,5門,7座,未領牌,0,滿吉國際股份有限公司,滿吉國際股份有限公司,新北市新店區中興路二段196號,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,2803346,白色,4WD,汽油,4門,5座,未領牌,0,滿吉國際股份有限公司,滿吉國際股份有限公司,新北市新店區中興路二段196號,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
0,2768020,白色,2WD,油電複合,5門,8座,未領牌,0,弘達國際汽車,弘達國際汽車,新北市泰山區,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
0,2767968,白色,2WD,汽油,5門,5座,未領牌,0,滿吉國際股份有限公司,滿吉國際股份有限公司,新北市新店區中興路二段196號,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
0,2789651,白色,4WD,汽油,5門,5座,2013年08月領牌,0,滿吉國際股份有限公司,滿吉國際股份有限公司,新北市新店區中興路二段196號,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
0,2803332,黑色,2WD,汽油,5門,8座,未領牌,0,豬豬人中古車德泉汽車,豬豬人中古車德泉汽車,台中市東區旱溪西路一段540號,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
0,2715411,白色,2WD,汽油,5門,5座,未領牌,0,弘達國際汽車,弘達國際汽車,新北市泰山區,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
0,2804998,黑色,2WD,汽油,5門,5座,2019年03月領牌,1,金美麗汽車廣場,金美麗汽車廣場,桃園市桃園區文中路308號,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,2803407,黑色,2WD,汽油,4門,5座,未領牌,0,耀Car優質好評商家,耀Car優質好評商家,新北市五股區五股區,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
